data_hora	user_name	title	id	viewer_count	language	game_id
24/05/2026 00:05:52	bySL4M	MOUZ [0:0] MIBR | BO3 | CS Asia Championships 2026 3rd Place Decider | Day 5 @xryst_t @fanat_rocka	317240605543	1989	ru	32399
24/05/2026 00:05:52	gambitZeros	CONTINUAÇÃO DE ONTEM	318093976436	1962	pt	509658
24/05/2026 00:05:52	ALKAPONE	Terminamos la Turbina y despues Gaming del HD	319550847835	1959	es	509658
24/05/2026 00:05:52	恭一郎	腰うち	315940768882	1931	ja	511224
24/05/2026 00:05:52	pitchularj	+18 SO CASSINO!!!❗️GINGA ❗️pix ❗️discord	318036086901	1930	pt	29452
24/05/2026 00:05:52	うっきーな	【6,000人記念🎉】HITMAN最終章やるぞー！！！【カスタムバッジDrops✅】	315940439410	1925	ja	1780647523
24/05/2026 00:05:52	Unter	❤️OWCS !DROPS 🤍Champions Clash Day 3 • 14hr+ painfully LONG STREAM	315672506858	1877	en	515025
24/05/2026 00:05:52	inspire	Best Sentinel POV !fps | @inspire_val on socials	316633221495	1869	en	516575
24/05/2026 00:05:52	GronkhTV	[GTV24/7] ✶ GTV0566, 2021-12-31 - TSCHÜSS 2021 (mit Pan & Phunk) + HALLO 2021 Dysmantle #4 ✶ #DOSENWURST - Die 24/7 Dauerbeschallung	317228084327	1865	de	
24/05/2026 00:05:52	chocoTaco	farmin	318719356892	1854	en	493057
24/05/2026 00:05:52	nyanners	🫠PLUH🫠1ST TIME MORONWIND🫠HUGE CHILLING🫠LARGE COMFORT🫠 !supps !nyanpc	319384016089	1847	en	15943
24/05/2026 00:05:52	KhanAsadi	FINALLY DESKTOP... LA county fair later???	317864388055	1840	en	
24/05/2026 00:05:52	Pezzzy	CLOOLESS SUBNAUTICA 2 STREAM :O !BBL !AFK !video	319549621211	1827	en	723826053
24/05/2026 00:05:52	sagatoficial	ACAMPANDO COM A AMANDA - ❗️PIX - ❗️DC - +18	317862636375	1825	pt	509672
24/05/2026 00:05:52	meilylol	HELLO!!! WHATS UP :)! new camera angle | #MSK	317863512279	1814	en	509658
24/05/2026 00:05:52	PlayOverwatch	[DROPS] OWCS 2026 | Champions Clash	315932812529	1806	en	515025
24/05/2026 00:05:52	LowTierGod	LIVE - PRELUDES - REACTS LATER	319447756634	1795	en	1435128654
24/05/2026 00:05:52	AlphaKep	✅NEW #1 DROPS ON✅🏆OFFICIAL RLCS PARIS MAJOR WATCH PARTY-A-THON🏆🔥988 SUB STREAK🔥w/ @AlphaKep 🛑SUB FOR NO ADS🛑!Merch	319521496539	1795	en	30921
