media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	quantidade_categorias
-0.1695850872033183	-0.10216789220676128	-0.08174208312362628	1.0072918504829422	-0.02741605986467415	-0.0718256181799437	1.0072918504829422	-0.4359432291543438
-0.00551744494767392	0.10825811831111509	0.1878163709341119	0.3409586842969035	0.2093780546805706	0.12864396100872885	0.3409586842969035	-0.4359432291543438
0.05743669310180346	0.6738893412630368	0.42629391721872373	4.700681400199843	-0.20834215712886697	0.40978111141447415	4.700681400199843	-0.4359432291543438
-0.19177471329694143	-0.14402409381521433	-0.11763868593519725	-0.687098200675842	-0.45510330750783395	-0.1678044165240842	-0.687098200675842	-0.4359432291543438
-0.189409617990337	-0.14605965377185642	-0.13241669248776095	-0.7061362911383003	-0.2073702789422113	-0.12984816479895397	-0.7061362911383003	-0.4359432291543438
-0.19171649556631734	0.012459577851646579	0.041932278129276405	-0.2872983009642188	-0.5121369558620529	-0.07682961653012468	-0.2872983009642188	-0.4359432291543438
-0.003765993155786044	-0.017692154006114423	0.01532137071550118	1.2547870264948995	0.035065313792448385	-0.040145398665887115	1.2547870264948995	0.13118789807040676
-0.2307514839497823	-0.16450691587892538	-0.14622847834148794	-0.7251743816007586	0.15597149628736862	-0.19557519991496228	-0.7251743816007586	-0.4359432291543438
-0.2506419354783255	-0.16832359079762932	-0.14197946167238312	-0.47767920558880134	0.0020711753315398275	-0.19529025208023443	-0.47767920558880134	-0.4359432291543438
-0.1788665486902293	-0.1253223867135651	-0.10454539025854487	-0.6109458388260091	-0.34683479872730255	-0.17861793622894218	-0.6109458388260091	0.13118789807040676
-0.24525740183028943	-0.16310746840873394	-0.1230127847005172	-0.7251743816007586	-0.5633718162883653	-0.16748202652162936	-0.7251743816007586	-0.4359432291543438
7.750197770934101	19.303334064451473	10.012879846887067	1.0644061218703171	-0.02348202780013644	20.122840963801696	1.0644061218703171	1.265450152519908
-0.1808006710742969	-0.14351520382605382	-0.1270955559613834	-0.7061362911383003	0.24527772386904984	-0.1526541215517879	-0.7061362911383003	-0.4359432291543438
-0.10430918868542519	-0.11489014193577438	-0.11798483140647474	0.055387327360029714	-0.11143507683790126	-0.12254689330801347	0.055387327360029714	-0.4359432291543438
-0.1646008944599169	-0.13079295409704073	-0.12574686982895822	0.4171110461467365	-0.02268042252052844	-0.16890411257295773	0.4171110461467365	5.235368043093162
0.4900616448175172	0.3157580113913184	0.3323752736935761	0.7026824030836103	0.22398785641495758	0.5907395796618116	0.7026824030836103	2.399712406969409
-0.26152925753972783	-0.15890912599815962	-0.13806232917253378	0.8169109458583598	-0.04340882067869878	-0.17999736805999722	0.8169109458583598	1.265450152519908
-0.25880151428611076	-0.16730581081930826	-0.12947551760764606	-0.47767920558880134	0.02800668251964452	-0.18078714705833016	-0.47767920558880134	-0.4359432291543438
-0.2244560302609298	-0.16107190845209185	-0.14209198704914122	-0.5728696579010926	-0.031204569739990723	-0.18846007304876633	-0.5728696579010926	0.13118789807040676
-0.25262388534526004	-0.15649189854964715	-0.1121778262527073	-0.687098200675842	0.3358073244313021	-0.0807032825450897	-0.687098200675842	0.6983190252951573
-0.23169752207242406	-0.15941801598732017	-0.13791401102610878	-0.5157553865137179	-0.09049110649073802	-0.16533221000188192	-0.5157553865137179	0.13118789807040676
-0.018649736853497766	-0.09211731492084095	-0.1348715681448543	-0.7061362911383003	0.23304399406334012	-0.16680998738449593	-0.7061362911383003	-0.4359432291543438
0.3429260336201862	0.2670317949291984	0.326213485264774	-0.47767920558880134	-0.05714007692809542	0.38799770466004857	-0.47767920558880134	-0.4359432291543438
-0.2663982004109241	-0.17888305807271018	-0.15499954026017163	-0.687098200675842	-0.10277188910339283	-0.21031726057524058	-0.687098200675842	-0.4359432291543438
-0.2892797091372197	-0.18727974289385882	-0.15848180582816188	-0.6680601102133839	-0.04441699793015726	-0.20680745854837126	-0.6680601102133839	-0.4359432291543438
-0.23610227557144414	-0.1483496587230788	-0.1314687274627202	0.16961587013477922	-0.06176392745874327	-0.18641027836763419	0.16961587013477922	0.13118789807040676
-0.22735687656853829	-0.1525480011336531	-0.13802467424289847	0.5123014984590277	-0.03262879500095395	-0.17487955410770792	0.5123014984590277	-0.4359432291543438
-0.05350178129162053	-0.10458511965527377	-0.1448228146270573	-0.687098200675842	0.00916673861885149	-0.15440228830166114	-0.687098200675842	-0.4359432291543438
-0.16796608721045692	-0.12646738918917627	-0.10621594660126536	-0.0969173963396363	-0.04043229736486894	-0.10666488527762977	-0.0969173963396363	-0.4359432291543438
-0.20753500765117355	-0.15038521867972088	-0.14048528586413275	0.24576823198461223	-0.06098100643690693	-0.18817809838148186	0.24576823198461223	0.13118789807040676
-0.2629773265594515	-0.15611023105777674	-0.12045654868012232	-0.30633639142667707	-0.04252076981027225	-0.14842219002328547	-0.30633639142667707	0.13118789807040676
-0.16039106173992695	0.05164410701700687	0.027813270705052098	1.5403583834317733	-0.04685565547489875	-0.05746315950038338	1.5403583834317733	-0.4359432291543438
-0.2751980750208065	-0.17048637325156155	-0.1357199423116262	-0.3634506628140518	-0.053225283390268295	-0.18390333748793242	-0.3634506628140518	0.13118789807040676
-0.24491502612876193	-0.16934137077595035	-0.15048284374923307	-0.6490220197509255	-0.052001910409697316	-0.188470167897507	-0.6490220197509255	-0.4359432291543438
-0.2825186900207399	-0.177738055597099	-0.1480262844184821	-0.4015268437389683	-0.05515692493853826	-0.18715511659639764	-0.4015268437389683	-0.4359432291543438
-0.2661711512614901	-0.17977361555374108	-0.15934869285612968	-0.687098200675842	-0.03854480762341658	-0.20956049634984508	-0.687098200675842	-0.4359432291543438
0.9284605623272647	0.39260039975455746	0.25031713324158983	-0.38248875327651005	-0.8235832492558119	0.6408329380479061	-0.38248875327651005	0.6983190252951573
-0.1440943919157963	-0.1319379565726519	-0.1254483479008484	-0.6680601102133839	0.1934067094928405	-0.15515070336246053	-0.6680601102133839	-0.4359432291543438
-0.2752783449221215	-0.18040972804019173	-0.1443727696348403	-0.7251743816007586	-0.269762300951331	-0.18966084762162905	-0.7251743816007586	-0.4359432291543438
0.37198832474774135	0.04108463974192601	-0.12010802999117995	-0.687098200675842	0.06421852274454541	-0.0963468984361108	-0.687098200675842	-0.4359432291543438
-0.2332971865343456	-0.15903634849544976	-0.13778930857657146	-0.5728696579010926	-0.036342736258388825	-0.1633274613350444	-0.5728696579010926	-0.4359432291543438
-0.16127985015510019	-0.049243333334066865	-0.07051761945489157	1.8830440117560219	-0.04271659749960825	-0.1009648127261099	1.8830440117560219	-0.4359432291543438
-0.13703064060007109	-0.12341404925421313	-0.0870246408438771	-0.7251743816007586	-0.8312904990334091	0.02251654090170114	-0.7251743816007586	-0.4359432291543438
-0.22266961541635694	-0.15318411362010376	-0.13600067168955854	-0.2492221200393023	-0.034466897688179995	-0.15371204994624157	-0.2492221200393023	1.265450152519908
-0.251984784035742	-0.1731580456946543	-0.15734769618204505	-0.43960302466388484	-0.04977105379806789	-0.20690571101490202	-0.43960302466388484	0.13118789807040676
0.27404781942784695	0.15049598741143852	0.06586914651865433	0.30288250337198697	0.010215344030769472	0.1698032358079432	0.30288250337198697	0.13118789807040676
-0.1804222558252402	-0.1332101815455532	-0.11364509087763003	0.09346350828494622	-0.009346972487122615	-0.13033911983408397	0.09346350828494622	-0.4359432291543438
-0.2572405513837518	-0.1744302706675556	-0.1494998189285248	-0.7061362911383003	0.08134574447253907	-0.2111832934771339	-0.7061362911383003	-0.4359432291543438
