user_name	media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	language	game_id
ALOHADANCETV	1312.8666666666666	1972	384.9927395728516	15	26.5	317.5542957814156	3.75	ru	509658.0
ALRuMtv	360.8	448	78.23490269694211	5	39.0	132.53678734600442	1.25	ru	32399.0
AMOR_ED	449.42857142857144	691	114.96065579559114	7	-54.5	74.66391363972289	1.75	ru	29595.0
AMOURANTH	663.469696969697	968	110.07144237866085	198	1.9238578680203047	72.61907385172118	49.5	en	509658.0
AMUR_GAME	512.775	765	143.58442303558397	40	11.615384615384615	64.94759644052127	10.0	ru	491931.0
ANASTASIVVA	454.5	550	66.97686167625353	6	1.8	97.59713110537625	1.5	ru	509658.0
ANGRYPUG	355.90909090909093	464	58.35250465193704	44	0.6046511627906976	48.2286910927331	11.0	en	491487.0
ANONYMOUS1270ttv	518.0	524	4.067610422035838	12	0.45454545454545453	7.421100138977191	3.0	en	460630.0
ANTIFA	229.83333333333334	241	12.351787994726378	6	2.6	17.672011770027773	1.5	de	515214.0
ANTILIPSI	969.125786163522	1087	74.28390136329305	159	-0.5126582278481012	83.51808510368062	39.75	el	21779.0
ANYZofficial	716.0	1051	240.37470748812154	6	-28.4	303.34930360889246	1.5	de	1669431183.0
APLFisher	260.6	338	53.63580893395754	5	13.0	98.01020355044673	1.25	en	32399.0
APOIE_GUU	318.75	481	104.62913226797279	48	-4.446808510638298	18.03596468730368	12.0	pt	30921.0
APPLESHAMPOO	301.61538461538464	379	36.93358557721879	13	-8.833333333333334	14.965617159666252	3.25	en	18122.0
AP_R0se	515.4565217391304	840	156.79695087326593	92	-0.9010989010989011	78.33107159076003	23.0	fr	32982.0
APlatypuss	666.8101265822785	877	97.43611660577685	79	5.743589743589744	76.25766913060025	19.75	en	491487.0
APlus0v0	255.16666666666666	315	41.6138215612017	24	-0.43478260869565216	29.074865882527412	6.0	zh	509658.0
APuppetIsDoingThings	290.1666666666667	501	93.88055615264224	18	-9.588235294117647	58.51288194014356	4.5	de	32982.0
AR12Gaming	910.9090909090909	1189	183.01592486076916	44	15.046511627906977	154.14000338102835	11.0	en	1991115310.0
