user_name	media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	quantidade_categorias	language	game_id	cluster
七小歪	226.83333333333331	247	15.171244730300367	6	2.2	28.908476265621477	1.5	1	zh	509658.0	0
七海ゆきちゃん	382.3333333333333	426	41.259342376404085	3	41.0	11.31370849898476	0.75	1	ja	509659.0	0
上海静岡	1094.5	1305	353.0171383941578	6	-173.4	355.4135619246964	1.5	1	ja	1669431183.0	0
世誠	2788.592783505155	4251	858.9313846116979	194	13.523316062176166	507.7271666511584	48.5	3	zh	21779.0	0
中信兄弟官方頻道	4121.111111111111	8424	2345.9821024801604	54	11.169811320754716	1125.7389152130097	13.5	1	zh	518203.0	0
中国のキング	215.0	266	22.391962843841984	11	-4.3	23.626961999659063	2.75	1	ja	516575.0	0
中指通	538.6363636363636	698	136.97255389121034	22	2.2857142857142856	99.9740680662455	5.5	1	zh	509658.0	0
中野	169.0	175	6.0	3	-6.0	0.0	0.75	1	ja	516575.0	0
乃囗尺囗力丹	2432.333333333333	11859	3494.770517458474	12	-24.0	4251.456362236358	3.0	1	ru	19801.0	0
久田はくぜん	479.8333333333333	3057	773.975882483858	24	-117.04347826086956	592.9330391644627	6.0	4	zh	1991115310.0	0
九里詠太	336.8181818181818	476	104.219785244279	11	20.5	91.2922657062348	2.75	2	ja	511224.0	0
乾伸一郎	606.6105263157895	1513	293.570945238145	95	13.98936170212766	76.86428406730653	23.75	1	ja	21779.0	0
二十日ネル	410.8	449	56.95787917400016	5	32.5	38.03945320322047	1.25	1	ja	491487.0	0
五股石油王	278.3333333333333	602	108.43538782765216	21	3.15	91.2061141763966	5.25	1	zh	55453844.0	0
亞洲統神	1462.0277777777778	2075	358.8911650905638	108	12.91588785046729	168.86575674718253	27.0	2	zh	21779.0	0
京野妮子	760.8505747126437	1462	200.0810027089396	87	-2.581395348837209	157.20518365321757	21.75	4	zh	1834661379.0	0
人見巫拉拉	435.0	492	49.56813492557492	3	-45.0	50.91168824543142	0.75	1	zh	509658.0	0
仲達	625.7241379310345	1584	405.7140735576703	145	1.0625	132.9909938982409	36.25	2	zh	515025.0	0
伊織もえ	1897.8333333333333	2409	262.49773447795815	12	101.27272727272728	308.75851110830644	3.0	2	ja	114524791.0	0
伊蓮桑	328.6666666666667	369	40.64808318563946	6	19.4	25.657357619209343	1.5	1	zh	509660.0	0
伍一一	162.5	172	5.822370651203857	6	2.6	5.9833101206606365	1.5	1	zh	1991115310.0	0
低欸死	353.0	573	105.165415921216	18	12.823529411764708	74.66863070771224	4.5	2	zh	1702520304.0	0
佐藤あにめ	212.0	221	15.588457268119896	3	-13.5	19.091883092036785	0.75	1	ja	21779.0	0
來希	621.0	842	213.00938946440837	3	93.5	468.811795926681	0.75	1	zh	509658.0	0
依梨	1999.571428571429	2880	727.273932450696	42	12.853658536585366	458.6963898362189	10.5	3	zh	509658.0	0
依渟	1027.5636363636363	1823	326.57946948504804	165	-2.0	147.03832812790787	41.25	2	zh	509658.0	0
修行僧です	236.8	257	13.21741275741966	5	-2.0	19.544820285692065	1.25	1	ja	55453844.0	0
偶是均仔	244.53225806451613	311	37.0908135601696	62	-0.6721311475409836	29.861190706040404	15.5	1	zh	516575.0	0
偷米	402.85	498	44.502247134274015	20	10.736842105263158	30.08477301312845	5.0	1	zh	1901865180.0	0
內埔薑母鴨	353.6875	1607	267.8778108926296	256	-0.1019607843137254	93.51279648463309	64.0	1	zh	272263131.0	0
八毛	443.67105263157896	615	108.35292805247052	76	3.973333333333333	68.69634974631819	19.0	2	zh	1804231074.0	0
六希夫	1116.0050251256282	1780	308.39895284523067	199	2.555555555555556	219.6988812460268	49.75	3	zh	1702520304.0	0
冠緯	2396.679389312977	3847	743.4917232706308	131	-3.007692307692308	247.55932641572696	32.75	2	zh	21779.0	0
冠賢	625.2640449438202	983	184.97360614724627	178	0.6836158192090396	89.51010235283614	44.5	7	zh	509658.0	0
冥鳴ひまりです	251.83333333333331	342	56.21937074584545	18	7.0	25.705057868053903	4.5	2	ja	516575.0	0
冬原てまり	839.75	1123	213.73865884700007	8	59.285714285714285	179.39501506054015	2.0	1	ja	21779.0	0
冬雲凜	163.0	170	5.215361924162117	6	-1.2	7.694153624668538	1.5	1	zh	21779.0	0
凛子_	796.0105263157894	1042	118.048898517561	95	3.861702127659575	92.1872336301694	23.75	6	ja	493057.0	0
凱斯林	381.1290322580645	512	67.75187177511967	31	-5.2	36.95327898287521	7.75	2	zh	509672.0	0
切嘛	1476.9166666666667	2872	666.604487123753	72	-8.746478873239436	174.4605332618125	18.0	3	ja	32982.0	0
利斧1	337.52941176470586	416	57.54793398448243	17	-2.0	39.55923828049946	4.25	1	zh	21779.0	0
加藤純一うん〇ちゃん	23765.337016574587	48910	10131.46623874846	181	1.8	5026.6100946438455	45.25	5	ja	2009321156.0	2
勝敗難免	441.9565217391304	647	106.9376847446118	92	2.4505494505494507	63.59022701576849	23.0	2	zh	21779.0	0
十五公分隊長瑟琳	228.5	251	28.750155279083778	8	9.142857142857142	15.752550813847806	2.0	1	zh	509658.0	0
十元10元	363.5	390	22.09826539195629	4	16.0	8.54400374531753	1.0	1	zh	509658.0	0
千凛あゆむ_にじさんじ	532.0	677	94.7596501911432	24	2.5217391304347827	68.35593315022439	6.0	3	ja	509658.0	0
南極哥	280.27272727272725	935	215.11396355424563	22	-0.3333333333333333	192.8751755237914	5.5	1	zh	509658.0	0
