	21779	27471	32399	509658	516575	Total
alveuscheer	0	0	0	0	3	3
subs	1	1	1	0	0	3
drops	1	1	0	0	1	3
server	0	3	0	0	0	3
qi	0	0	3	0	0	3
cara	0	0	3	0	0	3
refresh	3	0	0	0	0	3
alr	1	0	0	2	0	3
motels	0	0	3	0	0	3
ki	0	0	2	0	1	3
graphics	0	0	0	0	3	3
politics	0	1	0	2	0	3
bta	0	3	0	0	0	3
chatter	0	3	0	0	0	3
shti	0	0	3	0	0	3
sword	0	3	0	0	0	3
wemadeoop	0	0	0	0	3	3
gifted	1	1	0	0	1	3
tourney	1	0	1	0	1	3
zagged	0	0	0	0	2	2
warm	0	0	0	0	2	2
rmm	2	0	0	0	0	2
dodging	0	0	0	0	2	2
compared	0	0	0	0	2	2
corners	0	0	0	0	2	2
bringing	0	1	0	0	1	2
count	0	1	0	1	0	2
age	0	1	0	1	0	2
list	0	1	0	1	0	2
losing	0	1	0	1	0	2
wasnt	0	1	0	0	1	2
ay	0	2	0	0	0	2
cooking	0	2	0	0	0	2
fights	0	0	0	0	2	2
everytime	1	1	0	0	0	2
gr	1	0	0	0	1	2
vac	0	0	0	0	2	2
subroza	0	0	0	0	2	2
ono	0	0	0	0	2	2
jynxzi	2	0	0	0	0	2
tournament	2	0	0	0	0	2
ungrateful	2	0	0	0	0	2
lewi	0	0	2	0	0	2
nxhep	0	0	2	0	0	2
smoojen	0	0	2	0	0	2
shemi	0	0	2	0	0	2
koka	0	0	2	0	0	2
aa	0	0	1	1	0	2
fol	0	0	2	0	0	2
cinna	2	0	0	0	0	2
calling	1	0	1	0	0	2
click	0	0	2	0	0	2
alrdy	1	0	0	1	0	2
german	1	1	0	0	0	2
catjam	0	2	0	0	0	2
chzzk	2	0	0	0	0	2
favor	0	0	1	1	0	2
cassino	0	0	2	0	0	2
cancel	1	0	0	0	1	2
shkun	0	0	2	0	0	2
mija	2	0	0	0	0	2
greed	1	0	0	0	1	2
koke	0	0	2	0	0	2
prej	0	0	2	0	0	2
recall	1	1	0	0	0	2
nemessi	2	0	0	0	0	2
works	1	1	0	0	0	2
gosta	0	0	2	0	0	2
quer	0	0	2	0	0	2
legal	0	0	1	1	0	2
pq	0	0	2	0	0	2
bullshit	1	0	1	0	0	2
virtual	0	0	2	0	0	2
casino	0	0	2	0	0	2
tem	0	0	2	0	0	2
instagram	0	0	1	0	1	2
pot	0	0	2	0	0	2
bir	0	0	2	0	0	2
giveaways	0	0	2	0	0	2
hellcase	0	0	2	0	0	2
aver	0	0	2	0	0	2
birrape	0	0	2	0	0	2
tua	0	0	2	0	0	2
bom	0	0	1	1	0	2
por	0	0	1	0	1	2
randomguylul	2	0	0	0	0	2
dive	1	0	0	1	0	2
choking	0	0	2	0	0	2
forson	0	0	2	0	0	2
earlier	1	0	0	0	1	2
order	0	0	1	1	0	2
brud	0	0	2	0	0	2
mood	1	0	0	0	1	2
aka	0	0	1	0	1	2
bre	0	0	2	0	0	2
sizzi	0	0	2	0	0	2
kids	0	0	1	1	0	2
destroy	0	0	2	0	0	2
ya	1	0	0	1	0	2
nahh	1	0	0	0	1	2
muga	0	0	2	0	0	2
